Do you travel in city.?, TOV,TF,age,Locv,gmap,st,tst,mktgb,boty,dit,mktgbu,seewhat
Yes ,2 wheeler,weekly,18,No,Yes ,Yes ,15,Sometimes,Marketing board,Look around | Think,Yes,"Like a clothes, vehicle etc."
Yes ,4 wheeler | 2 wheeler,Less than once a month,18,Yes ,Yes ,Yes ,120,Sometimes,Advt,Look around,Yes,Educational
Yes ,2 wheeler,Monthly,20,No,Yes ,Yes ,120,Sometimes,Advertisement,Look around | Think,Sometimes,Advertisement
Yes ,2 wheeler,Daily,19,No,Yes ,Yes ,30,Sometimes,Adds,Look around,Yes,"Classes, products adds"
Yes ,2 wheeler,Daily,22,No,Yes ,No,120,Yes,"Advertisement boards of cars, bike, offers in shopping malls & especially parul university promotion",Look around | Think,Yes,I don't know about marketing boards but good causes like fraud and all should also be there.
Yes ,2 wheeler,Daily,20,No,Yes ,Yes ,20,Sometimes,"Advertising products , about school college etc",Look around | Look at quotes written on predecessors end,Sometimes,Of my interest like about tech Wearing
Yes ,2 wheeler,Once a month,18,Yes ,Yes ,Yes ,20,Yes,"Vehicles, jwellery, clothing, party banners",Look around,Yes,"Things made with new creative technologies, Indian products"
Yes ,2 wheeler,A few times week,21,Yes  | No,Yes  | No,Yes ,45,Yes | No,Photos,Look around | Look at quotes written on predecessors end | Think,Yes,Style of marketing level
Yes ,2 wheeler,weekly,21,Yes  | No,Yes ,Yes ,25,Yes,All types of marketing,Look around,Yes,Don't remember
Yes ,2 wheeler,weekly,20,No,Yes ,Yes ,1200,Yes,"University, Marketing",Look around | Look at quotes written on predecessors end | Think,Yes,Start up
Yes ,2 wheeler,Daily,22,Yes ,Yes ,Yes ,60,Yes,Advertisements,Look around,Yes,Sale boards
Yes ,2 wheeler,weekly,22,No,Yes ,Yes ,10,No,Traffic broad,Think,Sometimes,I don't like any marketing board
Yes ,2 wheeler,Daily,20,No,No,Yes ,600,Sometimes,"Vivo, oppo",Look around,Sometimes,I don't know exactly
Yes ,2 wheeler,Daily,21,No,Yes ,Yes ,90,Yes,Advertising,Look around,Yes,Advertising
Yes ,2 wheeler,Everyday,23,Yes ,Yes ,Yes ,180,Yes,"Hospitals, education, fashion etc",Play radio,Yes,"Fashion, education, hospitals"
Yes ,4 wheeler | 2 wheeler,A few times week,21,Yes ,Yes ,Yes ,15,Yes,"Related to politicians, some brands and new developments within the city",Look around | Play radio,Yes,"New city projects, events and commercial boards"
